product_name,category,supplier,cost,shipping_cost,moq,lead_time_days,selling_price,estimated_monthly_sales,competition
Mini Portable Projector,Electronics,Alibaba Supplier A,28.50,4.20,50,14,89.99,1250,Low
Smart Pet Water Fountain,Pet Supplies,Alibaba Supplier B,13.20,3.00,100,21,39.99,980,Medium
LED Strip Lights 100ft,Home & Kitchen,Alibaba Supplier C,8.75,2.10,200,10,25.99,1620,High
Adjustable Laptop Stand,Office Products,Alibaba Supplier D,6.40,1.80,100,12,19.99,870,Low
Smart Fitness Tracker,Sports & Outdoors,Alibaba Supplier E,18.90,3.80,50,18,49.99,760,Medium
Kitchen Drawer Organizer,Home & Kitchen,Alibaba Supplier F,9.60,2.00,150,15,24.99,650,Low
Car Phone Holder Mount,Automotive,Alibaba Supplier G,4.30,1.20,300,9,14.99,1100,High
Wireless Charging Pad,Electronics,Alibaba Supplier H,6.80,1.50,200,11,18.99,540,Medium
Air Purifier,Home & Kitchen,Alibaba Supplier I,22.50,5.80,40,20,79.99,620,Medium
Wireless Earbuds,Electronics,Alibaba Supplier J,11.40,2.60,100,16,34.99,2450,High
